board,listing_year,feature,n,mean_shap,mean_abs_shap
创业板,2020.0,market_turnover_ma20,53,0.05525279664399254,0.06882845967948231
创业板,2020.0,subscription_upper_limit_10k,53,-0.01925855438844762,0.06806306584991875
创业板,2020.0,offline_issue_before_share_pct,53,-0.062450875846025655,0.0647594018769027
创业板,2020.0,offline_issue_before_clawback_10k,53,0.0030680209706691482,0.056469243679618975
创业板,2020.0,total_issue_shares_10k,53,-0.005920892450822854,0.03638517920247435
创业板,2020.0,online_issue_before_clawback_10k,53,-0.00918675590795854,0.03219644384532322
创业板,2020.0,market_turnover_pct_rank_1y,53,-0.014297240052694817,0.026955732720436172
创业板,2020.0,strategic_allocation_share_pct,53,0.014291993849569033,0.019822736426241303
创业板,2020.0,concurrent_offline_issue_sum_10k,53,-0.009138739791666843,0.019137491154816003
创业板,2020.0,comparable_pe_avg_ex_nonrecurring,53,-0.0016804122397586303,0.018845976302434165
创业板,2020.0,strategic_allocation_10k,53,0.008751569820211389,0.01287185340342012
创业板,2020.0,industry_pe_at_ipo,53,-0.004774139906270132,0.012865207959302185
创业板,2020.0,market_return_ma20,53,0.003105538187464772,0.0103516828901496
创业板,2020.0,board,53,-0.00027140101867588695,0.009420983003122439
创业板,2020.0,same_board_break_rate_ma10,53,0.0074621625989767905,0.007693501675532819
创业板,2021.0,subscription_step_10k,142,0.1078517077622651,0.1078517077622651
创业板,2021.0,recent_ipo_first_day_return_ma20,142,0.10185648756668626,0.10694289253971717
创业板,2021.0,market_turnover_ma20,142,0.09234705373147564,0.09234705373147564
创业板,2021.0,subscription_upper_limit_10k,142,0.024134791532299405,0.05762941035659399
创业板,2021.0,market_turnover_ma20_over_ma60,142,0.04924956428614052,0.05503021127342574
创业板,2021.0,subscription_lower_limit_10k,142,0.042822651901576816,0.05465982592893418
创业板,2021.0,offline_issue_before_clawback_10k,142,0.0019226827523203718,0.04854255422693777
创业板,2021.0,offline_issue_before_share_pct,142,-0.03720382169143004,0.04662581684963318
创业板,2021.0,market_turnover_pct_rank_1y,142,-0.0007811556362798027,0.03049921515972311
创业板,2021.0,same_board_concurrent_ipo_count,142,0.025458349390650798,0.025812010011349803
创业板,2021.0,strategic_allocation_share_pct,142,0.009494190019492,0.025722995441305505
创业板,2021.0,total_issue_shares_10k,142,0.005663388944011542,0.023923529495529134
创业板,2021.0,concurrent_ipo_count,142,0.021814324652923243,0.02188017173597317
创业板,2021.0,concurrent_offline_issue_sum_10k,142,0.005163347133638838,0.020524226208469016
创业板,2021.0,comparable_pe_avg_ex_nonrecurring,142,0.00909024729660732,0.019949170724706665
创业板,2021.0,online_issue_before_clawback_10k,142,0.0011018515328702432,0.018866300589385293
创业板,2021.0,strategic_allocation_10k,142,0.009945151089347492,0.016412513750808145
创业板,2021.0,market_return_ma20,142,0.00636756743644231,0.013756765230199504
创业板,2021.0,same_board_break_rate_ma10,142,0.008900111811617427,0.0113938006881562
创业板,2021.0,industry_pe_at_ipo,142,0.0010593812405747017,0.010866766130808005
创业板,2021.0,board,142,0.008685763604937835,0.009838286182677815
创业板,2022.0,subscription_step_10k,122,0.10441487688063368,0.10441487688063368
创业板,2022.0,recent_ipo_first_day_return_ma20,122,-0.07340731063898182,0.07343267706730407
创业板,2022.0,subscription_upper_limit_10k,122,0.012414671606844747,0.06822321102448131
创业板,2022.0,market_turnover_ma20,122,0.05873088935651728,0.0649182617141238
创业板,2022.0,subscription_lower_limit_10k,122,0.014996799834702083,0.06424164632036311
创业板,2022.0,offline_issue_before_clawback_10k,122,0.007774594987150004,0.06009864586100913
创业板,2022.0,offline_issue_before_share_pct,122,-0.043904338371979885,0.05270535111845116
创业板,2022.0,total_issue_shares_10k,122,0.00949936231954721,0.031606729660682
创业板,2022.0,strategic_allocation_10k,122,0.009110015835559959,0.025805339821103362
创业板,2022.0,strategic_allocation_share_pct,122,0.0018503210981881163,0.022727807227237874
创业板,2022.0,online_issue_before_clawback_10k,122,0.003044463226733996,0.022286840235978635
创业板,2022.0,market_turnover_ma20_over_ma60,122,0.017960318119368462,0.021946588008071522
创业板,2022.0,same_board_concurrent_ipo_count,122,0.01959558531570966,0.02074721777411834
创业板,2022.0,comparable_pe_avg_ex_nonrecurring,122,0.005704931199761115,0.02052751597702052
创业板,2022.0,market_return_ma20,122,-0.005163532143152747,0.019048808913364083
创业板,2022.0,concurrent_offline_issue_sum_10k,122,-0.010472741400399145,0.018602295786139436
创业板,2022.0,market_turnover_pct_rank_1y,122,0.006305808005919184,0.01634422247639864
创业板,2022.0,industry_pe_at_ipo,122,0.0009344758033100879,0.01312289148563072
创业板,2022.0,board,122,0.005413790459000547,0.012648407102088071
