factor,factor_group,scope,scope_value,n,spearman_ic,abs_ic,icir_by_year,status
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,period,2023 全面注册制切换,204,-0.0076245132199221155,0.0076245132199221155,,ok
comparable_pe_avg_ex_nonrecurring,估值因子,period,2023 全面注册制切换,194,-0.0074059251510188665,0.0074059251510188665,,ok
total_issue_shares_10k,发行供给因子,period,2024-2026 当前阶段,178,0.006029528420578966,0.006029528420578966,,ok
market_turnover_ma20,市场流动性因子,period,未知时期,0,,,,insufficient_sample
market_turnover_pct_rank_1y,市场流动性因子,period,未知时期,0,,,,insufficient_sample
market_turnover_ma20_over_ma60,市场流动性因子,period,未知时期,0,,,,insufficient_sample
market_return_ma20,市场情绪因子,period,未知时期,0,,,,insufficient_sample
recent_ipo_first_day_return_ma20,市场情绪因子,period,未知时期,0,,,,insufficient_sample
same_board_break_rate_ma10,市场情绪因子,period,未知时期,0,,,,insufficient_sample
concurrent_ipo_count,IPO供给拥挤因子,period,未知时期,0,,,,insufficient_sample
same_board_concurrent_ipo_count,IPO供给拥挤因子,period,未知时期,0,,,,insufficient_sample
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,period,未知时期,0,,,,insufficient_sample
total_issue_shares_10k,发行供给因子,period,未知时期,0,,,,insufficient_sample
offline_issue_before_clawback_10k,发行供给因子,period,未知时期,0,,,,insufficient_sample
offline_issue_before_share_pct,发行供给因子,period,未知时期,0,,,,insufficient_sample
strategic_allocation_share_pct,发行供给因子,period,未知时期,0,,,,insufficient_sample
subscription_upper_limit_10k,申购规则因子,period,未知时期,0,,,,insufficient_sample
subscription_lower_limit_10k,申购规则因子,period,未知时期,0,,,,insufficient_sample
subscription_step_10k,申购规则因子,period,未知时期,0,,,,insufficient_sample
industry_pe_at_ipo,估值因子,period,未知时期,0,,,,insufficient_sample
comparable_pe_avg_ex_nonrecurring,估值因子,period,未知时期,0,,,,insufficient_sample
offer_price_range_pct,估值因子,period,2019-2020 注册制早期,0,,,,insufficient_sample
offer_price_range_pct,估值因子,period,2021-2022 扩容与破发阶段,0,,,,insufficient_sample
offer_price_range_pct,估值因子,period,2023 全面注册制切换,0,,,,insufficient_sample
offer_price_range_pct,估值因子,period,2024-2026 当前阶段,0,,,,insufficient_sample
offer_price_range_pct,估值因子,period,未知时期,0,,,,insufficient_sample
comparable_pe_avg_ex_nonrecurring,估值因子,year,2026.0,25,-0.8384615384615385,0.8384615384615385,,ok
recent_ipo_first_day_return_ma20,市场情绪因子,year,2026.0,29,-0.6162561576354678,0.6162561576354678,,ok
subscription_step_10k,申购规则因子,year,2020.0,226,0.5953933235529087,0.5953933235529087,,ok
industry_pe_at_ipo,估值因子,year,2026.0,28,-0.5911330049261083,0.5911330049261083,,ok
market_turnover_ma20_over_ma60,市场流动性因子,year,2019.0,70,0.49491600595565394,0.49491600595565394,,ok
same_board_break_rate_ma10,市场情绪因子,year,2019.0,45,0.4930344855611716,0.4930344855611716,,ok
recent_ipo_first_day_return_ma20,市场情绪因子,year,2021.0,309,0.48663513123268837,0.48663513123268837,,ok
same_board_break_rate_ma10,市场情绪因子,year,2024.0,66,-0.47030659295528593,0.47030659295528593,,ok
same_board_break_rate_ma10,市场情绪因子,year,2021.0,309,-0.4586566136847312,0.4586566136847312,,ok
concurrent_offline_issue_sum_10k,IPO供给拥挤因子,year,2019.0,69,-0.45683647094042157,0.45683647094042157,,ok
recent_ipo_first_day_return_ma20,市场情绪因子,year,2023.0,199,0.4084224151058322,0.4084224151058322,,ok
offline_issue_before_share_pct,发行供给因子,year,2024.0,66,-0.39955722396136184,0.39955722396136184,,ok
