security_code,security_name,board,listing_year,period,log_offline_oversubscription,feature,shap,abs_shap
688191.SH,智洋创新,科创板,2021.0,2021-2022 扩容与破发阶段,8.512172870667966,strategic_allocation_share_pct,0.07014181740398628,0.07014181740398628
688192.SH,迪哲医药-U,科创板,2021.0,2021-2022 扩容与破发阶段,7.5238001704309285,strategic_allocation_share_pct,-0.14495368519525947,0.14495368519525947
688193.SH,仁度生物,科创板,2022.0,2021-2022 扩容与破发阶段,7.876809186438992,strategic_allocation_share_pct,0.058954799787903175,0.058954799787903175
688195.SH,腾景科技,科创板,2021.0,2021-2022 扩容与破发阶段,8.565211686497078,strategic_allocation_share_pct,0.07046181999778167,0.07046181999778167
688196.SH,卓越新能,科创板,2019.0,2019-2020 注册制早期,6.1135080496282,strategic_allocation_share_pct,-0.10669739529441453,0.10669739529441453
688197.SH,首药控股-U,科创板,2022.0,2021-2022 扩容与破发阶段,6.360569220895823,strategic_allocation_share_pct,-0.16201169684515845,0.16201169684515845
688198.SH,佰仁医疗,科创板,2019.0,2019-2020 注册制早期,6.26681603439757,strategic_allocation_share_pct,0.0449305676417057,0.0449305676417057
688199.SH,久日新材,科创板,2019.0,2019-2020 注册制早期,5.182807183504169,strategic_allocation_share_pct,-0.12419064790067458,0.12419064790067458
688200.SH,华峰测控,科创板,2020.0,2019-2020 注册制早期,7.095108571998756,strategic_allocation_share_pct,-0.0197669447652505,0.0197669447652505
688201.SH,ST信安,科创板,2021.0,2021-2022 扩容与破发阶段,8.382214992672314,strategic_allocation_share_pct,0.04988104942169285,0.04988104942169285
688202.SH,美迪西,科创板,2019.0,2019-2020 注册制早期,6.870668694954444,strategic_allocation_share_pct,0.06639112501881131,0.06639112501881131
688203.SH,海正生材,科创板,2022.0,2021-2022 扩容与破发阶段,8.202711571010461,strategic_allocation_share_pct,0.035859156798167126,0.035859156798167126
688205.SH,德科立,科创板,2022.0,2021-2022 扩容与破发阶段,7.726078543588823,strategic_allocation_share_pct,-0.07846992508438815,0.07846992508438815
